id,owner,reused,config,map_lower_z_m,ready_ratio,tp,fp,fn,idsw,frag,recall,mean_ms,p95_ms,track_frames,input_frames,output_bag_exists,run_dir
AeroCOVER-V8/FOREST/AeroCOVER-Mid360,AeroCOVER-V8/FOREST/AeroCOVER-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_FOREST_AeroCOVER-Mid360.yaml,,,1795,0,0,0,0,1.0,32.47907718050139,66.5921212,1795,1795,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/FOREST/AeroCOVER-Mid360
AeroCOVER-V8/FOREST/AeroCOVER-OS1,AeroCOVER-V8/FOREST/AeroCOVER-OS1,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_FOREST_AeroCOVER-OS1.yaml,,,1934,0,0,0,0,1.0,86.51184929214064,109.7915462,1934,1934,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/FOREST/AeroCOVER-OS1
AeroCOVER-V8/MT/AeroCOVER-Mid360,AeroCOVER-V8/MT/AeroCOVER-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_MT_AeroCOVER-Mid360.yaml,,,1110,8,149,4,4,0.8816521048451151,40.083700178,53.63673574999999,500,500,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/MT/AeroCOVER-Mid360
AeroCOVER-V8/MT/AeroCOVER-OS1,AeroCOVER-V8/MT/AeroCOVER-OS1,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_MT_AeroCOVER-OS1.yaml,,,1282,0,41,3,3,0.9690098261526833,106.69138273193916,124.299214,526,526,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/MT/AeroCOVER-OS1
AeroCOVER-V8/OFFICE/AeroCOVER-Mid360,AeroCOVER-V8/OFFICE/AeroCOVER-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_OFFICE_AeroCOVER-Mid360.yaml,,,1476,0,0,0,0,1.0,21.780437348238483,32.6344885,1476,1476,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/OFFICE/AeroCOVER-Mid360
AeroCOVER-V8/OFFICE/AeroCOVER-OS1,AeroCOVER-V8/OFFICE/AeroCOVER-OS1,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_OFFICE_AeroCOVER-OS1.yaml,,,1495,0,0,0,0,1.0,85.3461011819398,94.4074869,1495,1495,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/OFFICE/AeroCOVER-OS1
AeroCOVER-V8/OPEN/AeroCOVER-Mid360,AeroCOVER-V8/OPEN/AeroCOVER-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_OPEN_AeroCOVER-Mid360.yaml,,,1834,0,0,0,0,1.0,45.39441482224646,71.31679759999997,917,917,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/OPEN/AeroCOVER-Mid360
AeroCOVER-V8/OPEN/AeroCOVER-OS1,AeroCOVER-V8/OPEN/AeroCOVER-OS1,False,/home/uav/lyk/results/retained_experiments/configs/AeroCOVER-V8_OPEN_AeroCOVER-OS1.yaml,,,2044,0,0,0,0,1.0,103.8885455440313,122.12360185,1022,1022,False,/home/uav/lyk/results/aerocover_four_scene_comparison_v8/runs/OPEN/AeroCOVER-OS1
V13/OPEN/VoFOD-Mid360,V13/OPEN/VoFOD-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/V13_OPEN_VoFOD-Mid360.yaml,-0.375,0.0001,1656,5180,178,0,3,0.9029443838604144,13.86103840456664,21.129007339477532,917,917,True,/home/uav/lyk/results/vofod_open_floor_second_v13/runs/OPEN/VoFOD-Mid360
V14/OPEN/VoFOD-Mid360,V14/OPEN/VoFOD-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/V14_OPEN_VoFOD-Mid360.yaml,-0.125,0.0001,1656,6,178,0,3,0.9029443838604144,13.575376929217622,20.542928314208982,917,917,True,/home/uav/lyk/results/vofod_open_floor_first_v14/runs/OPEN/VoFOD-Mid360
V15/FOREST/VoFOD-Mid360,V15/FOREST/VoFOD-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/V15_FOREST_VoFOD-Mid360.yaml,-0.125,0.0001,1744,3966,51,0,0,0.9715877437325905,58.64885288334158,98.10109100341796,1795,1795,True,/home/uav/lyk/results/vofod_floor_first_all_v15/runs/FOREST/VoFOD-Mid360
V15/FOREST/VoFOD-OS1,V15/FOREST/VoFOD-OS1,False,/home/uav/lyk/results/retained_experiments/configs/V15_FOREST_VoFOD-OS1.yaml,-0.125,0.15,1554,154,380,5,5,0.8035160289555325,139.80414953300846,276.7911071777343,1934,1934,True,/home/uav/lyk/results/vofod_floor_first_all_v15/runs/FOREST/VoFOD-OS1
V15/MT/VoFOD-Mid360,V15/MT/VoFOD-Mid360,False,/home/uav/lyk/results/retained_experiments/configs/V15_MT_VoFOD-Mid360.yaml,-0.125,0.0001,979,106,280,4,7,0.7776012708498808,22.397651107788086,33.97731037139892,500,500,True,/home/uav/lyk/results/vofod_floor_first_all_v15/runs/MT/VoFOD-Mid360
